Time [s],Channel 0
0.547338480,0
0.547340560,1
0.547341840,0
0.547343920,1
0.547345160,0
0.547347240,1
0.547348480,0
0.547350560,1
0.547351840,0
0.547353920,1
0.547355160,0
0.547357240,1
0.547358480,0
0.547360560,1
0.547361840,0
0.551152400,1
0.551153640,0
0.551155720,1
0.551156960,0
0.551159040,1
0.551160320,0
0.551162400,1
0.551163640,0
0.551165720,1
0.551166960,0
0.551169040,1
0.551170320,0
0.551172400,1
0.551173640,0
0.551175720,1
0.551176960,0
0.551179040,1
0.551180320,0
0.551182400,1
0.551183640,0
0.551185720,1
0.551186960,0
0.551189040,1
0.551190320,0
0.551192400,1
0.551193640,0
0.551195720,1
0.551196960,0
0.551199040,1
0.551200320,0
0.551202400,1
0.551203640,0
0.555226000,1
0.555227280,0
0.555229360,1
0.555230600,0
0.555232680,1
0.555233920,0
0.555236000,1
0.555237280,0
0.555239360,1
0.555240600,0
0.555242680,1
0.555243920,0
0.555246000,1
0.555247280,0
0.555249360,1
0.555250600,0
0.555252680,1
0.555253920,0
0.555256000,1
0.555257280,0
0.555259360,1
0.555260600,0
0.555262680,1
0.555263920,0
0.555266000,1
0.555267280,0
0.555269360,1
0.555270600,0
0.555272680,1
0.555273920,0
0.555276000,1
0.555277280,0
0.559982080,1
0.559983360,0
0.559985440,1
0.559986680,0
0.559988760,1
0.559990000,0
0.559992080,1
0.559993360,0
0.559995440,1
0.559996680,0
0.559998760,1
0.560000000,0
0.560002080,1
0.560003360,0
0.560005440,1
0.560006680,0
0.560008760,1
0.560010000,0
0.560012080,1
0.560013360,0
0.560015440,1
0.560016680,0
0.560018760,1
0.560020000,0
0.560022080,1
0.560023360,0
0.560025440,1
0.560026680,0
0.560028760,1
0.560030000,0
0.560032080,1
0.560033360,0
0.563308640,1
0.563309880,0
0.563311960,1
0.563313200,0
0.563315280,1
0.563316560,0
0.563318640,1
0.563319880,0
0.563321960,1
0.563323200,0
0.563325280,1
0.563326560,0
0.563328640,1
0.563329880,0
0.563331960,1
0.563333200,0
0.563335280,1
0.563336560,0
0.563338640,1
0.563339880,0
0.563341960,1
0.563343200,0
0.563345280,1
0.563346560,0
0.563348640,1
0.563349880,0
0.563351960,1
0.563353200,0
0.563355280,1
0.563356560,0
0.563358640,1
0.563359880,0
0.567287720,1
0.567288960,0
0.567291040,1
0.567292320,0
0.567294400,1
0.567295640,0
0.567297720,1
0.567298960,0
0.567301040,1
0.567302320,0
0.567304400,1
0.567305640,0
0.567307720,1
0.567308960,0
0.567311040,1
0.567312320,0
0.567314400,1
0.567315640,0
0.567317720,1
0.567318960,0
0.567321040,1
0.567322320,0
0.567324400,1
0.567325640,0
0.567327720,1
0.567328960,0
0.567331040,1
0.567332320,0
0.567334400,1
0.567335640,0
0.567337720,1
0.567338960,0
0.571090800,1
0.571092040,0
0.571094120,1
0.571095400,0
0.571097480,1
0.571098720,0
0.571100800,1
0.571102040,0
0.571104120,1
0.571105400,0
0.571107480,1
0.571108720,0
0.571110800,1
0.571112040,0
0.571114120,1
0.571115400,0
0.571117480,1
0.571118720,0
0.571120800,1
0.571122040,0
0.571124120,1
0.571125400,0
0.571127480,1
0.571128720,0
0.571130800,1
0.571132040,0
0.571134120,1
0.571135400,0
0.571137480,1
0.571138720,0
0.571140800,1
0.571142040,0
0.575285880,1
0.575287120,0
0.575289200,1
0.575290480,0
0.575292560,1
0.575293800,0
0.575295880,1
0.575297120,0
0.575299200,1
0.575300480,0
0.575302560,1
0.575303800,0
0.575305880,1
0.575307120,0
0.575309200,1
0.575310480,0
0.575312560,1
0.575313800,0
0.575315880,1
0.575317120,0
0.575319200,1
0.575320480,0
0.575322560,1
0.575323800,0
0.575325880,1
0.575327120,0
0.575329200,1
0.575330480,0
0.575332560,1
0.575333800,0
0.575335880,1
0.575337120,0
0.579306000,1
0.579307240,0
0.579309320,1
0.579310560,0
0.579312640,1
0.579313920,0
0.579316000,1
0.579317240,0
0.579319320,1
0.579320560,0
0.579322640,1
